Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position
McKenzie Meehan,NJ,17,5,600,0,1,20,12,7,6,0,0,0,0,0,2017,Attacker
Kayla Mills,NJ,16,13,1162,0,0,2,0,26,0,0,0,0,1,0,2017,
Christie Pearce,NJ,16,16,1440,0,0,0,0,2,0,0,0,0,0,0,2017,
Dominique Richardson,NJ,7,7,630,0,1,0,0,3,0,0,0,0,0,0,2017,Defender
Abby Dahlkemper,NC,24,24,2160,0,2,2,1,12,0,116,0,0,3,0,2017,Defender
Erin Simon,NJ,7,7,516,0,0,0,0,5,0,0,0,0,1,0,2017,
Makenzy Doniak,NC,22,15,1214,0,3,7,1,7,0,1,0,0,0,0,2017,Midfielder
Nikki Stanton,NJ,16,13,1045,0,1,4,1,23,0,1,0,0,6,0,2017,
Elizabeth Eddy,NC,5,0,55,0,0,0,0,2,0,0,0,0,0,0,2017,Midfielder
Yanara Aedo,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Lindsay Agnew,WAS,8,2,291,0,1,5,2,1,3,0,0,0,0,0,2017,
Cameron Castleberry,WAS,2,0,26,0,0,0,0,0,0,0,0,0,0,0,2017,
Kathleen Naughton,CHI,22,22,1958,0,0,3,1,6,0,0,0,0,1,0,2017,
Caprice Dydasco,WAS,16,11,1118,0,0,3,0,6,1,0,0,0,2,0,2017,Defender
Cali Farquharson,WAS,10,3,352,0,0,4,2,8,3,0,0,0,2,0,2017,Attacker
Tori Huster,WAS,20,19,1714,0,0,22,8,32,0,1,0,0,2,0,2017,
Jaelene Hinkle,NC,20,20,1774,0,2,7,1,19,3,3,0,0,0,0,2017,Defender
Kassey Kallman,WAS,17,16,1400,0,0,0,0,9,0,0,0,0,1,0,2017,
Alyssa Kleiner,WAS,18,11,997,0,0,4,1,9,0,1,0,0,0,0,2017,Defender
Joanna Lohman,WAS,1,1,22,0,0,0,0,0,0,0,0,0,0,0,2017,Midfielder
Nora Holstad Berge,NC,2,1,89,0,0,0,0,2,0,0,0,0,0,0,2017,
Yuri Kawamura,NC,8,7,588,0,0,2,1,10,0,0,0,0,1,0,2017,Defender
Morgan Proffitt,WAS,10,4,366,0,0,3,1,6,0,0,0,0,0,0,2017,Midfielder
Amanda Frisbie,BOS,12,9,751,0,1,1,0,7,0,9,0,0,1,0,2017,
Angela Salem,BOS,24,24,2117,0,0,8,2,23,0,0,0,0,3,0,2017,
Courtney Niemiec,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,
Denise O'Sullivan,NC,18,11,953,0,1,6,3,21,0,0,0,0,0,0,2017,Midfielder
Katie Stengel,WAS,17,10,778,0,1,6,3,4,6,0,0,0,1,0,2017,Attacker
Crystal Elaine Thomas,WAS,1,0,25,0,0,0,0,0,0,0,0,0,0,0,2017,
Stephanie Ochs,NC,5,0,52,0,0,0,0,1,1,0,0,0,0,0,2017,
Shelina Zadorsky,WAS,21,20,1793,0,1,3,2,9,0,23,0,0,2,0,2017,
