Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Position
Maddie Huster,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tori Huster,WAS,17,15,1283,0,0,11,5,14,2,18,0,0,0,0,Defender
Estelle Johnson,WAS,21,21,1890,0,0,3,2,11,0,0,0,0,2,0,Defender
Rose Lavelle,WAS,11,5,424,0,0,6,2,5,4,3,0,0,0,0,Midfielder
Bridget Callahan,ORL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Tiffany McCarty,WAS,1,1,70,0,0,0,0,2,2,0,0,0,0,0,Attacker
Alexa Newfield,WAS,1,0,20,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Christine Creighton,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Morgan Proffitt,WAS,4,2,197,0,0,0,0,1,0,0,0,0,0,0,
Stephanie McCaffrey,CHI,2,0,10,0,0,0,0,2,1,0,0,0,0,0,Attacker
Rebecca Quinn,WAS,17,16,1384,0,0,3,0,4,0,0,0,0,1,0,Midfielder
Abby Elinsky,ORL,2,0,32,0,0,0,0,0,0,0,0,0,0,0,Midfielder
Taylor Smith,WAS,23,23,2064,0,1,7,3,13,4,0,0,0,1,0,
Havana Solaun,WAS,13,5,496,0,1,5,0,4,1,7,0,0,0,0,Midfielder
Andi Sullivan,WAS,23,22,1984,0,1,26,9,10,0,0,1,0,0,0,Midfielder
Tiffany Weimer,WAS,3,1,84,0,0,0,0,0,2,2,0,0,0,0,Midfielder
