Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position,Goals per Game,Assists per Game,Shots per Game,Prop SoG,Shots per Goal
Kathryn Williamson,POR,5.0,3.0,198.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2016.0,,0.2,0.0,0.2,1.0,1.0
Whitney Engen,BOS,14.0,14.0,1260.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,2016.0,,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,1.0
Mollie Pathman,BOS,13.0,12.0,1055.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2016.0,,0.07692307692307693,0.0,0.15384615384615385,0.5,1.0
Meg Morris,POR,7.0,3.0,274.0,1.0,1.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,2016.0,Attacker,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5,1.0
Taylor Lytle,NJ,18.0,18.0,1506.0,1.0,2.0,13.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2016.0,Midfielder,0.05555555555555555,0.1111111111111111,0.7222222222222222,0.23076923076923078,0.3333333333333333
Kelley O'Hara,NJ,12.0,11.0,1033.0,1.0,2.0,16.0,5.0,12.0,8.0,36.0,0.0,0.0,1.0,0.0,2016.0,Defender,0.08333333333333333,0.16666666666666666,1.3333333333333333,0.3125,0.2
Raquel Rodriguez,NJ,18.0,17.0,1464.0,1.0,1.0,21.0,11.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.05555555555555555,0.05555555555555555,1.1666666666666667,0.5238095238095238,0.09090909090909091
Erica Skroski,NJ,20.0,20.0,1798.0,1.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.0,Defender,0.05,0.0,0.1,0.5,1.0
Kendall Lorraine Fletcher,SEA,20.0,20.0,1755.0,1.0,0.0,6.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.05,0.0,0.3,0.5,0.3333333333333333
Tobin Heath,POR,14.0,13.0,1159.0,1.0,10.0,32.0,16.0,28.0,5.0,55.0,0.0,0.0,1.0,1.0,2016.0,Attacker,0.07142857142857142,0.7142857142857143,2.2857142857142856,0.5,0.0625
Tori Huster,WAS,19.0,19.0,1667.0,1.0,1.0,17.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.05263157894736842,0.05263157894736842,0.8947368421052632,0.4117647058823529,0.14285714285714285
Alyssa Kleiner,WAS,17.0,12.0,1111.0,1.0,1.0,4.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,2016.0,Defender,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.5,0.5
Ali Krieger,WAS,15.0,14.0,1267.0,1.0,0.0,8.0,4.0,9.0,1.0,7.0,0.0,0.0,2.0,0.0,2016.0,,0.06666666666666667,0.0,0.5333333333333333,0.5,0.25
Louise Schillgard,BOS,18.0,16.0,1428.0,1.0,2.0,5.0,4.0,32.0,5.0,31.0,1.0,1.0,4.0,0.0,2016.0,,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.8,0.25
Steph Catley,ORL,11.0,11.0,990.0,1.0,1.0,7.0,3.0,9.0,1.0,27.0,0.0,0.0,0.0,0.0,2016.0,Defender,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.42857142857142855,0.3333333333333333
Erika Tymrak,KC,17.0,14.0,1164.0,1.0,2.0,18.0,6.0,9.0,3.0,23.0,0.0,0.0,0.0,0.0,2016.0,Midfielder,0.058823529411764705,0.11764705882352941,1.0588235294117647,0.3333333333333333,0.16666666666666666
Becky Sauerbrunn,KC,14.0,14.0,1260.0,1.0,0.0,3.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,2016.0,Defender,0.07142857142857142,0.0,0.21428571428571427,0.6666666666666666,0.5
Heather O'Reilly,KC,14.0,14.0,1206.0,1.0,2.0,20.0,8.0,12.0,10.0,54.0,2.0,1.0,2.0,0.0,2016.0,Midfielder,0.07142857142857142,0.14285714285714285,1.4285714285714286,0.4,0.125
Katie Schoepfer,BOS,12.0,8.0,597.0,1.0,0.0,9.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2016.0,,0.08333333333333333,0.0,0.75,0.5555555555555556,0.2
Chioma Ubogagu,HOU,15.0,9.0,805.0,1.0,1.0,16.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.06666666666666667,0.06666666666666667,1.0666666666666667,0.4375,0.14285714285714285
Kyah Simon,BOS,17.0,14.0,1292.0,1.0,1.0,20.0,7.0,15.0,5.0,1.0,0.0,0.0,1.0,0.0,2016.0,,0.058823529411764705,0.058823529411764705,1.1764705882352942,0.35,0.14285714285714285
Andressinha,HOU,15.0,15.0,1297.0,1.0,1.0,19.0,8.0,12.0,1.0,37.0,0.0,0.0,1.0,0.0,2016.0,,0.06666666666666667,0.06666666666666667,1.2666666666666666,0.42105263157894735,0.125
Michaela Hahn,WNY,13.0,8.0,659.0,1.0,1.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2016.0,,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.2857142857142857,0.5
Jaelene Hinkle,WNY,15.0,15.0,1327.0,1.0,3.0,8.0,7.0,16.0,1.0,37.0,1.0,1.0,2.0,0.0,2016.0,Defender,0.06666666666666667,0.2,0.5333333333333333,0.875,0.14285714285714285
Amber Brooks,HOU,19.0,11.0,1085.0,1.0,0.0,11.0,2.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,2016.0,,0.05263157894736842,0.0,0.5789473684210527,0.18181818181818182,0.5
Poliana,HOU,15.0,15.0,1324.0,1.0,0.0,12.0,7.0,11.0,2.0,2.0,0.0,0.0,1.0,0.0,2016.0,,0.06666666666666667,0.0,0.8,0.5833333333333334,0.14285714285714285
Cara Walls,CHI,12.0,8.0,702.0,1.0,0.0,9.0,6.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,2016.0,,0.08333333333333333,0.0,0.75,0.6666666666666666,0.16666666666666666
Christen Westphal,BOS,13.0,7.0,580.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,Defender,0.07692307692307693,0.0,0.15384615384615385,1.0,0.5
Sam Witteman,ORL,16.0,12.0,1062.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.25,0.5,0.0
Desiree Scott,KC,14.0,14.0,1260.0,0.0,0.0,5.0,2.0,16.0,1.0,0.0,0.0,0.0,2.0,0.0,2016.0,Midfielder,0.0,0.0,0.35714285714285715,0.4,0.0
Brooke Elby,BOS,13.0,11.0,917.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2016.0,,0.0,0.0,0.23076923076923078,0.6666666666666666,0.0
Brittany Taylor,KC,20.0,20.0,1800.0,0.0,0.0,11.0,4.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.55,0.36363636363636365,0.0
Samantha Johnson,CHI,19.0,19.0,1676.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,2016.0,Defender,0.0,0.0,0.0,0.0,0.0
Tiffany Weimer,KC,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.0,0.0,0.0,0.0,0.0
Laura Alleway,ORL,11.0,9.0,783.0,0.0,0.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2016.0,,0.0,0.0,0.7272727272727273,0.5,0.0
